name,sat,nb_yes,nb_mod,last_clause,in,core
randconfig_50,False,1337,958,NET_UDP_TUNNEL,True,['~NET_UDP_TUNNEL_MODULE'  '~NET_UDP_TUNNEL'  'L2TP_MODULE'  'NF_LOG_IPV4'  'BQL']
randconfig_51,False,1813,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_52,False,2894,0,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_53,False,2598,0,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_54,False,2325,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_55,False,2778,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_56,False,3345,0,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_57,False,1683,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_58,False,1426,862,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_59,False,3366,0,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_60,False,2230,0,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_61,False,2538,0,SENSORS_W83L786NG,True,['~SENSORS_W83L786NG'  'SENSORS_W83L786NG']
randconfig_62,False,2032,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_63,False,1205,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_64,False,1335,667,SENSORS_W83627EHF,True,['~SENSORS_W83627EHF_MODULE'  'SENSORS_W83627EHF_MODULE']
randconfig_65,False,2185,0,SENSORS_W83L786NG,True,['~SENSORS_W83L786NG'  'SENSORS_W83L786NG']
randconfig_66,False,1448,746,NET_UDP_TUNNEL,True,['~NET_UDP_TUNNEL'  'L2TP'  'IPV6_SIT'  'INET_RAW_DIAG_MODULE'  'BPQETHER_MODULE']
randconfig_67,False,1645,875,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS_MODULE'  'SENSORS_W83L785TS_MODULE']
randconfig_68,False,1524,1008,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL_MODULE'  'INET_XFRM_MODE_TUNNEL_MODULE']
randconfig_69,False,1388,762,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL_MODULE'  'INET_XFRM_MODE_TUNNEL_MODULE']
randconfig_70,False,1803,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_71,False,1698,1521,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC_MODULE'  'PWM_BCM_IPROC_MODULE']
randconfig_72,False,1574,891,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_73,False,1925,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_74,False,2616,0,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_75,False,1654,778,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB'  'CRYPTO_SHA512_MB']
randconfig_76,False,1209,729,SENSORS_W83L786NG,True,['~SENSORS_W83L786NG_MODULE'  'SENSORS_W83L786NG_MODULE']
randconfig_77,False,1236,624,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS_MODULE'  'SENSORS_W83L785TS_MODULE']
randconfig_78,False,1293,885,BCMA_DEBUG,True,['~BCMA_DEBUG'  'BCMA_DEBUG']
randconfig_79,False,1898,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_80,False,2567,0,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_81,False,2160,0,SENSORS_W83L786NG,True,['~SENSORS_W83L786NG'  'SENSORS_W83L786NG']
randconfig_82,False,1669,0,SENSORS_W83627HF,True,['~SENSORS_W83627HF'  'SENSORS_W83627HF']
randconfig_83,False,2605,0,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_84,False,2237,0,SENSORS_W83L786NG,True,['~SENSORS_W83L786NG'  'SENSORS_W83L786NG']
randconfig_85,False,2220,1140,HISAX_BKM_A4T,True,['~HISAX_BKM_A4T'  'HISAX_BKM_A4T']
randconfig_86,False,2273,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_87,False,1635,804,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL'  'INET_XFRM_MODE_TUNNEL']
randconfig_88,False,1592,0,BCMA_DRIVER_GMAC_CMN,True,['~BCMA_DRIVER_GMAC_CMN'  'BCMA_DRIVER_GMAC_CMN']
randconfig_89,False,1518,796,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_90,False,1424,1225,SENSORS_W83627HF,True,['~SENSORS_W83627HF_MODULE'  'SENSORS_W83627HF_MODULE']
randconfig_91,False,2148,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_92,False,1943,1347,INET_XFRM_MODE_TUNNEL,True,['~INET_XFRM_MODE_TUNNEL_MODULE'  'INET_XFRM_MODE_TUNNEL_MODULE']
randconfig_93,False,1275,825,CRYPTO_SHA512_MB,True,['~CRYPTO_SHA512_MB_MODULE'  'CRYPTO_SHA512_MB_MODULE']
randconfig_94,False,3161,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_95,False,1941,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_96,False,2085,0,PWM_BCM_IPROC,True,['~PWM_BCM_IPROC'  'PWM_BCM_IPROC']
randconfig_97,False,1833,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_98,False,1859,0,SENSORS_W83L785TS,True,['~SENSORS_W83L785TS'  'SENSORS_W83L785TS']
randconfig_99,False,1578,917,NET_UDP_TUNNEL,True,['~NET_UDP_TUNNEL'  'NET_UDP_TUNNEL']
